Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
M377,"TUBO DE 1 1/4"" x 1 1/2""",PIEZA,MOTOS,,NO,NO,NO,NO
M378,"TUBO DE 1 5/8""",PIEZA,MOTOS,,NO,NO,NO,NO
M379,"ZINTRO 1"" X 1""",PIEZA,MOTOS,,NO,NO,NO,NO
M380,"ZINTRO 2"" X 2""",PIEZA,MOTOS,,NO,NO,NO,NO
M381,NEUMATICO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M382,NEUMATICO PARA 250 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M383,NEUMATICO PARA 200 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M505,BATERIA,PIEZA,MOTOS,,NO,NO,NO,NO
M384,MOTOR PARA MOTOCARRO 250 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M385,MOTOR PARA MOTOCARRO 200 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M386,DIFERENCIAL PARA MOTOCARRO 250 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M388,SUSPENSION DELANTERO (TIJERA HORQUILLA),PIEZA,MOTOS,,NO,NO,NO,NO
M389,FLECHA CARDAN 250 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M387,DIFERENCIAL PARA MOTOCARRO 200 CC,PIEZA,MOTOS,,NO,NO,NO,NO
M390,MUELLE UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M391,MUELLE PARA 250,PIEZA,MOTOS,,NO,NO,NO,NO
M392,MUELLE PARA 200,PIEZA,MOTOS,,NO,NO,NO,NO
M393,SUSPENSION DELANTERA 250,PIEZA,MOTOS,,NO,NO,NO,NO
M394,SUSPENSION DELANTERA 200,PIEZA,MOTOS,,NO,NO,NO,NO
M395,GARRAFA ANTICONGELANTE 250,PIEZA,MOTOS,,NO,NO,NO,NO
M396,GARRAFA ANTICONGELANTE 200,PIEZA,MOTOS,,NO,NO,NO,NO
M397,SALPICADERA DELANTERA 250,PIEZA,MOTOS,,NO,NO,NO,NO
