Código;Razón
4000;El código ya existe
4001;El código ya existe
4002;El código ya existe
4003;El código ya existe
4004;El código ya existe
4005;El código ya existe
4006;El código ya existe
4007;El código ya existe
4008;El código ya existe
4009;El código ya existe
4010;El código ya existe
4011;El código ya existe
4012;El código ya existe
4013;El código ya existe
4014;El código ya existe
4015;El código ya existe
4016;El código ya existe
4017;El código ya existe
4018;El código ya existe
4019;El código ya existe
4020;El código ya existe
4021;El código ya existe
4022;El código ya existe
4023;El código ya existe
4024;El código ya existe
4025;El código ya existe
4026;El código ya existe
4027;El código ya existe
4028;El código ya existe
4029;El código ya existe
4030;El código ya existe
4031;El código ya existe
4032;El código ya existe
4033;El código ya existe
4034;El código ya existe
4035;El código ya existe
4036;El código ya existe
4037;El código ya existe
4038;El código ya existe
4039;El código ya existe
4040;El código ya existe
4041;El código ya existe
4042;El código ya existe
4043;El código ya existe
4045;El código ya existe
4221;El código ya existe
4047;El código ya existe
4048;El código ya existe
4049;El código ya existe
4050;El código ya existe
4051;El código ya existe
4052;El código ya existe
4053;El código ya existe
4054;El código ya existe
4055;El código ya existe
4056;El código ya existe
4057;El código ya existe
4058;El código ya existe
4059;El código ya existe
4060;El código ya existe
4061;El código ya existe
4062;El código ya existe
4063;El código ya existe
4064;El código ya existe
4065;El código ya existe
4066;El código ya existe
4067;El código ya existe
4068;El código ya existe
4222;El código ya existe
4070;El código ya existe
4071;El código ya existe
4072;El código ya existe
4073;El código ya existe
4074;El código ya existe
4075;El código ya existe
4076;El código ya existe
4077;El código ya existe
4078;El código ya existe
4079;El código ya existe
4080;El código ya existe
4081;El código ya existe
4082;El código ya existe
4083;El código ya existe
4084;El código ya existe
4085;El código ya existe
4086;El código ya existe
4087;El código ya existe
4088;El código ya existe
4089;El código ya existe
4090;El código ya existe
4091;El código ya existe
4092;El código ya existe
4219;El código ya existe
4095;El código ya existe
4096;El código ya existe
4097;El código ya existe
4098;El código ya existe
4099;El código ya existe
4100;El código ya existe
4101;El código ya existe
4102;El código ya existe
4103;El código ya existe
4104;El código ya existe
4105;El código ya existe
4106;El código ya existe
4218;El código ya existe
4109;El código ya existe
4110;El código ya existe
4111;El código ya existe
4112;El código ya existe
4113;El código ya existe
4114;El código ya existe
4115;El código ya existe
4116;El código ya existe
4117;El código ya existe
4118;El código ya existe
4119;El código ya existe
4120;El código ya existe
4216;El código ya existe
4215;El código ya existe
4214;El código ya existe
4124;El código ya existe
4125;El código ya existe
4126;El código ya existe
4127;El código ya existe
4128;El código ya existe
4129;El código ya existe
4130;El código ya existe
4131;El código ya existe
4132;El código ya existe
4133;El código ya existe
4213;El código ya existe
4136;El código ya existe
4137;El código ya existe
4138;El código ya existe
4139;El código ya existe
4140;El código ya existe
4141;El código ya existe
4142;El código ya existe
4143;El código ya existe
4144;El código ya existe
4145;El código ya existe
4146;El código ya existe
4147;El código ya existe
4148;El código ya existe
4150;El código ya existe
4151;El código ya existe
4152;El código ya existe
4153;El código ya existe
4154;El código ya existe
4155;El código ya existe
4156;El código ya existe
4157;El código ya existe
4160;El código ya existe
4161;El código ya existe
4162;El código ya existe
4164;El código ya existe
4165;El código ya existe
4166;El código ya existe
4167;El código ya existe
4168;El código ya existe
4169;El código ya existe
4170;El código ya existe
4171;El código ya existe
4212;El código ya existe
4173;El código ya existe
4174;El código ya existe
4175;El código ya existe
4176;El código ya existe
4177;El código ya existe
4178;El código ya existe
4179;El código ya existe
4180;El código ya existe
4181;El código ya existe
4182;El código ya existe
4183;El código ya existe
4184;El código ya existe
4185;El código ya existe
4186;El código ya existe
4187;El código ya existe
4188;El código ya existe
4189;El código ya existe
4190;El código ya existe
4191;El código ya existe
4192;El código ya existe
4193;El código ya existe
4194;El código ya existe
4195;El código ya existe
4196;El código ya existe
4197;El código ya existe
4198;El código ya existe
4199;El código ya existe
4200;El código ya existe
4201;El código ya existe
4202;El código ya existe
4203;El código ya existe
4204;El código ya existe
4205;El código ya existe
4206;El código ya existe
4207;El código ya existe
4208;El código ya existe
4209;El código ya existe
4210;El código ya existe
4211;El código ya existe
M625;El código ya existe
M626;El código ya existe
M627;El código ya existe
M628;El código ya existe
M629;El código ya existe
M630;El código ya existe
M631;El código ya existe
M632;El código ya existe
M633;El código ya existe
M634;El código ya existe
M635;El código ya existe
M636;El código ya existe
M637;El código ya existe
M638;El código ya existe
M639;El código ya existe
M640;El código ya existe
M641;El código ya existe
M642;El código ya existe
M643;El código ya existe
M644;El código ya existe
M645;El código ya existe
M646;El código ya existe
M647;El código ya existe
M648;El código ya existe
M649;El código ya existe
M650;El código ya existe
M651;El código ya existe
M652;El código ya existe
M653;El código ya existe
M654;El código ya existe
M655;El código ya existe
M656;El código ya existe
M657;El código ya existe
M658;El código ya existe
M659;El código ya existe
M660;El código ya existe
M661;El código ya existe
M662;El código ya existe
M663;El código ya existe
M664;El código ya existe
M665;El código ya existe
M666;El código ya existe
M667;El código ya existe
M668;El código ya existe
M669;El código ya existe
M670;El código ya existe
M671;El código ya existe
M672;El código ya existe
M673;El código ya existe
M674;El código ya existe
M675;El código ya existe
M676;El código ya existe
M677;El código ya existe
M678;El código ya existe
M679;El código ya existe
M680;El código ya existe
M681;El código ya existe
M682;El código ya existe
M683;El código ya existe
M684;El código ya existe
M685;El código ya existe
M686;El código ya existe
M687;El código ya existe
M688;El código ya existe
M689;El código ya existe
M690;El código ya existe
M691;El código ya existe
M692;El código ya existe
M693;El código ya existe
M694;El código ya existe
M695;El código ya existe
M696;El código ya existe
M697;El código ya existe
M698;El código ya existe
M699;El código ya existe
M700;El código ya existe
M701;El código ya existe
M702;El código ya existe
M703;El código ya existe
M704;El código ya existe
