Código;Razón
M712;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
4206;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
4207;El código ya existe
M713;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M714;El nombre 'SEGURO SEAGUER' ya existe
M715;El nombre 'PUNTA DE CONTACTO 0.045' ya existe
M716;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M717;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M718;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M719;El nombre 'LIJA #180' ya existe
M720;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M721;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M722;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M723;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M724;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M725;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M726;El nombre 'DEPOSITO DE AGUA (NEGRO HECHIZO)' ya existe
M727;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M728;El nombre ' TABLERO 200 CC' ya existe
M729;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M730;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M731;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M732;El nombre 'ABRAZADERA DE MUELLE CON TACÓN' ya existe
M733;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M734;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M735;"Error inesperado: (1048, ""Column 'updated_at' cannot be null"")"
M736;El nombre 'PLACA 3/16 3FT X 10FT ' ya existe
