Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
724,"TORNILLO HEX. 5/8"" X 2 1/2"" UNH.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
725,"PLACA 3/16"" ESP. 4 FT X 10 FT (MOTOS).",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
726,BALERO 6203.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
727,BALERO 6207.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
728,BALERO 2RS162307-2RS21.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
729,LIJA ORBITAL  #320.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
730,"CONDULET LB 3/4"".",PIEZA,ELECTRICO,GENERICO,False,True,True,False
731,"CONECTOR PARA CABLE USO RUDO 1/2"".",PIEZA,ELECTRICO,GENERICO,False,True,True,False
732,"REMACHE 1/8"".",PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
733,"ROTULO DE ""DEPOSITO DE ACEITE"" SC.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
734,LOGO DE VORDCAB 14*32 SC.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
735,"ROTULO DE ""CARGA MAXIMA 50,000 LBS"" EVIC.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
736,"ROTULO DE ""CAPACIDAD DE CARGA ESTRUCTURAL 40000 LBS"" SC.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
737,INDICADOR DE VOLTAJE.,PIEZA,ELECTRICO,GENERICO,False,True,True,False
738,"RESORTE 4"" X 1.35 ESPESOR X 1.145 EXT.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
739,PRIMARIO RP-6 ROJO OSEL.,KIT,RECUBRIMIENTO,GENERICO,False,True,True,False
740,"TUERCA DE SEGURIDAD 1/2"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
741,CRISTAL OSCURO N°11.,PIEZA,EPP,GENERICO,False,True,True,False
742,CRISTAL OSCURO N°10.,PIEZA,EPP,GENERICO,False,True,True,False
743,CRISTAL OSCURO N°13.,PIEZA,EPP,GENERICO,False,True,True,False
744,CRISTAL OSCURO N°14.,PIEZA,EPP,GENERICO,False,True,True,False
745,SEGURO OMEGA.,PIEZA,ELECTRICO,GENERICO,False,True,True,False
746,"TORNILLO HEX. 3/4"" X 3"" GALV..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
747,"TORNILLO HEX. 3/4"" X 2"" GALV. G5.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
748,"TORNILLO HEX. 3/4"" X 2"" AC.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
749,"TORNILLO HEX. 3/4"" X 2 1/2"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
750,CHUMACERA LINEAL SBR25.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
751,RETEN 16246 ( 1.625 X 2.500 X .312).,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
752,RETEN 485013.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
753,"MANOMETRO 0-100 PSI | 2 1/2"" X 1/4"""".",PIEZA,HIDRAULICO,GENERICO,False,True,True,False
754,"MANOMETRO 0-300 PSI | 2 1/2"" X 1/4"".",PIEZA,HIDRAULICO,GENERICO,False,True,True,False
755,SOLDADURA 5/32 6011.,KG,CONSUMIBLE,GENERICO,False,True,True,False
756,BALERO 5205.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
757,"TUBO CONDUIT 1/2"" CED. 30..",PIEZA,ELECTRICO,GENERICO,False,True,True,False
758,CABLE POT CAL. 18.,MTS,ELECTRICO,GENERICO,False,True,True,False
759,GABINETE ELECTRICO SCHNEIDER 400*300*200.,PIEZA,ELECTRICO,GENERICO,False,True,True,False
760,ACEITE MULTIGRADO PARA MOTOR A GASOLINA.,LTS,CONSUMIBLE,GENERICO,False,True,True,False
761,FILTRO DE ACEITE GP-46.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
762,"ARANDELA PLANA 3/4"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
763,"RONDANA DE PRESION 3/4"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
764,"TUERCA HEX. 3/4"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
765,"TUERCA HEX. 3/8"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
766,"RONDANA DE PRESION 3/8"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
767,"ARANDELA PLANA 3/8"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
768,"UNIDAD HIDRONEUMATICA COMPACTA SERIE, VDC150140560C1.",EQUIPO ,PRODUCTO TERMINADO,GENERICO,False,True,True,False
769,"TAPON RESPIRADERO 3"" MONTAJE SUPERIOR.",PIEZA,ACCESORIO CRITICO,GENERICO,False,True,True,False
770,"CARDA TIPO COPA 5"".",PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
771,"RONDANA DE PRESION 3/16"" GALV.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
772,TABLILLA FENOLICA 10CM*10CM.,PIEZA,ELECTRICO,GENERICO,False,True,True,False
773,DIODO 1N4007.,PIEZA,ELECTRICO,GENERICO,False,True,True,False
